strongsort_time,people
0.02071976661682129,0
0.020803451538085938,0
0.05205106735229492,0
0.04660820960998535,0
0.04835915565490723,33
0.05252385139465332,35
0.04743170738220215,33
0.05005669593811035,33
0.052867889404296875,34
0.052352190017700195,33
0.04960799217224121,32
0.052503347396850586,33
0.04451918601989746,31
0.05029702186584473,31
0.04376506805419922,29
0.049700021743774414,29
0.04697775840759277,28
0.05638551712036133,33
0.05485701560974121,36
0.05801534652709961,38
0.0534367561340332,31
0.05322742462158203,36
0.058333635330200195,37
0.05533456802368164,36
0.05303144454956055,36
0.05910754203796387,37
0.05406069755554199,37
0.06084084510803223,37
0.05681920051574707,38
0.06118154525756836,39
0.06066155433654785,43
0.06135153770446777,41
0.06752991676330566,43
0.05396080017089844,34
0.05876278877258301,36
0.05591225624084473,34
0.05739569664001465,38
0.05904412269592285,39
0.06190824508666992,41
0.06522941589355469,42
0.05857253074645996,39
0.05777692794799805,38
0.057419538497924805,37
0.05770111083984375,38
0.05982184410095215,39
0.06089329719543457,40
0.05771470069885254,35
0.05975508689880371,36
0.06047487258911133,36
0.06564664840698242,41
0.06346535682678223,40
0.06565332412719727,42
0.05902266502380371,38
0.05990767478942871,36
0.0594029426574707,38
0.06204867362976074,39
0.054938316345214844,34
0.0635676383972168,40
0.057755231857299805,37
0.06159353256225586,39
0.06161046028137207,40
0.06297659873962402,40
0.05375933647155762,32
0.05959439277648926,35
0.061667680740356445,38
0.06079506874084473,38
0.061029672622680664,38
0.0621950626373291,40
0.05693650245666504,36
0.062279701232910156,39
0.05708432197570801,34
0.06034564971923828,36
0.0638577938079834,39
0.06247830390930176,39
0.06375885009765625,39
0.06046319007873535,37
0.05759787559509277,33
0.05684924125671387,33
0.058634281158447266,36
0.05199623107910156,31
0.05693244934082031,35
0.057173728942871094,35
0.052179813385009766,31
0.05630660057067871,33
0.057047128677368164,35
0.05659127235412598,32
0.0564882755279541,35
0.06554460525512695,39
0.06135821342468262,39
0.06336641311645508,38
0.06112527847290039,39
0.05970907211303711,36
0.06062602996826172,38
0.062300920486450195,40
0.05783510208129883,36
0.06218075752258301,39
0.05625510215759277,33
0.05761003494262695,34
0.05621814727783203,34
0.05744147300720215,34
0.05826091766357422,35
0.054060935974121094,30
0.05299234390258789,31
0.052678823471069336,29
0.05757713317871094,33
0.05691385269165039,34
0.05977582931518555,38
0.06174349784851074,39
0.05746817588806152,36
0.05950498580932617,37
0.06036376953125,40
0.06339359283447266,40
0.06030583381652832,38
0.0652613639831543,41
0.060315608978271484,37
0.055899620056152344,32
0.06249737739562988,38
